,Movie-Name,Imdb Rating,Year-of-Release
100,The Kid,8.2,1921
200,Sherlock Jr.,8.1,1924
153,The Gold Rush,8.1,1925
198,The General,8.1,1926
112,Metropolis,8.2,1927
222,The Passion of Joan of Arc,8.0,1928
238,The Circus,8.0,1928
42,City Lights,8.5,1931
92,M,8.3,1931
236,It Happened One Night,8.0,1934
39,Modern Times,8.5,1936
201,Mr. Smith Goes to Washington,8.1,1939
166,Gone with the Wind,8.1,1939
233,Rebecca,8.0,1940
56,The Great Dictator,8.4,1940
97,Citizen Kane,8.3,1941
195,To Be or Not to Be,8.1,1942
49,Casablanca,8.4,1942
117,Double Indemnity,8.2,1944
23,It's a Wonderful Life,8.6,1946
149,The Treasure of the Sierra Madre,8.1,1948
99,Bicycle Thieves,8.2,1948
177,The Third Man,8.1,1949
126,Rashomon,8.2,1950
139,All About Eve,8.2,1950
64,Sunset Blvd.,8.4,1950
107,Ikiru,8.2,1952
104,Singin' in the Rain,8.2,1952
176,Tokyo Story,8.1,1953
213,The Wages of Fear,8.1,1953
51,Rear Window,8.4,1954
152,Dial M for Murder,8.1,1954
178,On the Waterfront,8.1,1954
18,Seven Samurai,8.6,1954
219,Rififi,8.0,1955
60,Paths of Glory,8.4,1957
65,Witness for the Prosecution,8.4,1957
249,Throne of Blood,8.0,1957
4,12 Angry Men,8.9,1957
172,The Bridge on the River Kwai,8.1,1957
158,The Seventh Seal,8.1,1957
167,Wild Strawberries,8.1,1957
91,Vertigo,8.3,1958
134,Some Like It Hot,8.2,1959
209,Ben-Hur,8.1,1959
101,North by Northwest,8.2,1959
221,The 400 Blows,8.0,1959
40,Psycho,8.5,1960
116,The Apartment,8.2,1960
148,Judgment at Nuremberg,8.1,1961
127,Yojimbo,8.2,1961
119,To Kill a Mockingbird,8.2,1962
33,Harakiri,8.5,1962
108,Lawrence of Arabia,8.2,1962
138,The Great Escape,8.2,1963
81,High and Low,8.3,1963
69,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964
114,For a Few Dollars More,8.2,1965
224,Andrei Rublev,8.0,1966
8,"The Good, the Bad and the Ugly",8.8,1966
244,The Battle of Algiers,8.0,1966
194,Persona,8.1,1966
208,Cool Hand Luke,8.1,1967
48,Once Upon a Time in the West,8.5,1968
89,2001: A Space Odyssey,8.3,1968
102,A Clockwork Orange,8.2,1971
130,Anand,8.2,1971
1,The Godfather,9.1,1972
111,The Sting,8.2,1973
154,Chinatown,8.1,1974
2,The Godfather: Part II,9.0,1974
203,Barry Lyndon,8.1,1975
124,Monty Python and the Holy Grail,8.2,1975
17,One Flew Over the Cuckoo's Nest,8.6,1975
106,Taxi Driver,8.2,1976
205,Network,8.1,1976
230,Rocky,8.0,1976
24,Star Wars: Episode IV - A New Hope,8.6,1977
181,The Deer Hunter,8.1,1978
216,Monty Python's Life of Brian,8.1,1979
52,Alien,8.4,1979
173,Stalker,8.1,1979
53,Apocalypse Now,8.4,1979
61,The Shining,8.4,1980
13,Star Wars: Episode V - The Empire Strikes Back,8.7,1980
161,The Elephant Man,8.1,1980
146,Raging Bull,8.1,1980
55,Raiders of the Lost Ark,8.4,1981
79,Das Boot,8.3,1981
164,The Thing,8.1,1982
168,Blade Runner,8.1,1982
84,Star Wars: Episode VI - Return of the Jedi,8.3,1983
105,Scarface,8.2,1983
228,Nausicaä of the Valley of the Wind,8.0,1984
82,Amadeus,8.3,1984
240,"Paris, Texas",8.0,1984
245,The Terminator,8.0,1984
71,Once Upon a Time in America,8.3,1984
118,Come and See,8.2,1985
135,Ran,8.2,1985
35,Back to the Future,8.5,1985
72,Aliens,8.3,1986
206,Stand by Me,8.1,1986
214,Platoon,8.1,1986
98,Full Metal Jacket,8.2,1987
243,The Princess Bride,8.0,1987
125,Die Hard,8.2,1988
145,My Neighbor Totoro,8.1,1988
47,Grave of the Fireflies,8.5,1988
50,Cinema Paradiso,8.4,1988
212,Dead Poets Society,8.1,1989
120,Indiana Jones and the Last Crusade,8.2,1989
16,Goodfellas,8.6,1990
37,Terminator 2: Judgment Day,8.5,1991
22,The Silence of the Lambs,8.6,1991
133,Unforgiven,8.2,1992
86,Reservoir Dogs,8.3,1992
165,Jurassic Park,8.1,1993
185,In the Name of the Father,8.1,1993
5,Schindler's List,8.9,1993
11,Forrest Gump,8.8,1994
34,The Lion King,8.5,1994
30,Léon: The Professional,8.5,1994
247,Three Colors: Red,8.0,1994
7,Pulp Fiction,8.8,1994
0,The Shawshank Redemption,9.2,1994
140,Casino,8.2,1995
32,The Usual Suspects,8.5,1995
77,Braveheart,8.3,1995
80,Toy Story,8.3,1995
19,Se7en,8.6,1995
229,La Haine,8.0,1995
123,Heat,8.2,1995
191,Before Sunrise,8.1,1995
175,Fargo,8.1,1996
192,The Bandit,8.1,1996
162,Trainspotting,8.1,1996
122,L.A. Confidential,8.2,1997
67,Princess Mononoke,8.4,1997
20,Life Is Beautiful,8.6,1997
246,Neon Genesis Evangelion: The End of Evangelion,8.0,1997
87,Good Will Hunting,8.3,1997
132,Children of Heaven,8.2,1997
170,The Truman Show,8.1,1998
25,Saving Private Ryan,8.5,1998
190,The Big Lebowski,8.1,1998
38,American History X,8.5,1998
144,"Lock, Stock and Two Smoking Barrels",8.1,1998
10,Fight Club,8.8,1999
76,American Beauty,8.3,1999
163,The Sixth Sense,8.1,1999
15,The Matrix,8.6,1999
27,The Green Mile,8.5,1999
226,Amores Perros,8.0,2000
103,Snatch,8.2,2000
237,In the Mood for Love,8.0,2000
90,Requiem for a Dream,8.3,2000
54,Memento,8.4,2000
41,Gladiator,8.5,2000
137,A Beautiful Mind,8.2,2001
109,Amélie,8.2,2001
232,"Monsters, Inc.",8.0,2001
26,Spirited Away,8.5,2001
9,The Lord of the Rings: The Fellowship of the Ring,8.8,2001
14,The Lord of the Rings: The Two Towers,8.7,2002
193,Catch Me If You Can,8.1,2002
21,City of God,8.6,2002
36,The Pianist,8.5,2002
169,Finding Nemo,8.1,2003
6,The Lord of the Rings: The Return of the King,8.9,2003
180,Memories of Murder,8.1,2003
68,Oldboy,8.4,2003
174,Kill Bill: Vol. 1,8.1,2003
136,Howl's Moving Castle,8.2,2004
235,Before Sunset,8.0,2004
95,Eternal Sunshine of the Spotless Mind,8.3,2004
223,Hotel Rwanda,8.0,2004
207,Million Dollar Baby,8.1,2004
131,Downfall,8.2,2004
128,Batman Begins,8.2,2005
151,My Father and My Son,8.1,2005
155,V for Vendetta,8.1,2005
59,The Lives of Others,8.4,2006
141,Pan's Labyrinth,8.2,2006
43,The Departed,8.5,2006
46,The Prestige,8.5,2006
227,Rang De Basanti,8.0,2006
211,Into the Wild,8.1,2007
157,No Country for Old Men,8.1,2007
83,Like Stars on Earth,8.3,2007
147,There Will Be Blood,8.1,2007
3,The Dark Knight,9.0,2008
179,Gran Torino,8.1,2008
62,WALL·E,8.4,2008
210,Hachi: A Dog's Tale,8.1,2009
78,3 Idiots,8.3,2009
85,Inglourious Basterds,8.3,2009
143,The Secret in Their Eyes,8.2,2009
121,Up,8.2,2009
186,Mary and Max,8.1,2009
115,Incendies,8.2,2010
199,How to Train Your Dragon,8.1,2010
156,Shutter Island,8.1,2010
110,Toy Story 3,8.2,2010
12,Inception,8.7,2010
113,A Separation,8.2,2011
160,Warrior,8.1,2011
44,The Intouchables,8.5,2011
242,The Help,8.0,2011
215,Harry Potter and the Deathly Hallows: Part 2,8.1,2011
96,The Hunt,8.3,2012
231,Gangs of Wasseypur,8.0,2012
70,The Dark Knight Rises,8.3,2012
58,Django Unchained,8.4,2012
218,Rush,8.0,2013
197,Prisoners,8.1,2013
142,The Wolf of Wall Street,8.2,2013
202,12 Years a Slave,8.1,2013
45,Whiplash,8.5,2014
187,Gone Girl,8.1,2014
29,Interstellar,8.5,2014
182,Wild Tales,8.1,2014
189,The Grand Budapest Hotel,8.1,2014
239,Drishyam,8.0,2015
204,Mad Max: Fury Road,8.1,2015
171,Room,8.1,2015
225,Spotlight,8.0,2015
159,Inside Out,8.1,2015
220,The Handmaiden,8.0,2016
241,The Invisible Guest,8.0,2016
188,Hacksaw Ridge,8.1,2016
74,Your Name.,8.3,2016
93,Dangal,8.3,2016
248,A Silent Voice: The Movie,8.0,2016
75,Coco,8.3,2017
217,Logan,8.1,2017
150,"Three Billboards Outside Ebbing, Missouri",8.1,2017
184,Andhadhun,8.1,2018
129,Green Book,8.2,2018
63,Avengers: Infinity War,8.4,2018
88,Capernaum,8.3,2018
66,Spider-Man: Into the Spider-Verse,8.4,2018
234,Portrait of a Lady on Fire,8.0,2019
28,Parasite,8.5,2019
183,Klaus,8.1,2019
196,Ford v Ferrari,8.1,2019
94,1917,8.3,2019
57,Joker,8.4,2019
73,Avengers: Endgame,8.3,2019
31,Hamilton,8.5,2020
